Date,Total,Title
2014-12-31,19,5 Guinness: 14 md
2014-12-29,18,3 Guinness: 15 md
2014-12-28,8,4 Guinness: 4 beers
2014-12-27,6,4 Guinness: 2 md
2014-12-26,7,6 Guinness: 1 beer
2014-12-19,5,2 Guinness: 3 beers
2014-12-20,16,2 Guinness: 11 md: 3 shots
2014-12-12,18,1 Guinness: 16 md: 1 shot
2014-12-07,6,5 Guinness: 1 shot
2014-12-06,14,12 md: 2 shots
2014-11-28,15,15 md
2014-11-22,17,17 md
2014-11-16,6,5 Guinness: 1 beer
2014-11-15,12,12 md
2014-11-14,18,18 md
2014-11-08,14,14 md
2014-11-07,3,3 md
2014-11-11,6,5 Guinness: 1 shot
2014-11-04,6,5 Guinness: 1 shot
2014-11-01,17,6 Guinness: 9 md: 2 shots
2014-10-31,14,2 Guinness: 5 beers: 5 md: 2 shots
2014-10-24,9,4 md: 5 shots
2014-10-12,7,5 Guinness: 2 shots
2014-10-11,8,8 md
2014-10-10,6,3 Guinness: 3 md
2014-10-07,6,5 Guinness: 1 shot
2014-10-04,8,8 md
2014-10-03,11,5 Guinness: 2 md: 4 shots
2014-10-02,4,3 Guinness: 1 beer
2014-09-28,6,3 Guinness: 3 beers
2014-09-27,20,12 beers: 8 md
2014-09-26,29,8 beers: 21 md
2014-09-25,11,3 Guinness: 2 beers: 6 md
2014-09-18,6,4 Guinness: 1 beer: 1 shot
2014-09-16,4,3 Guinness: 1 shot
2014-09-13,14,14 md
2014-09-07,8,4 Guinness: 1 beer: 2 md: 1 shot
2014-08-23,11,2 Guinness: 4 beers: 5 md
2014-08-09,9,9 md
2014-08-02,19,17 md: 2 shots
2014-07-25,9,6 Guinness: 1 beer: 2 md
2014-07-19,19,8 Guinness: 9 md: 2 shots
2014-07-18,13,12 md: 1 shot
2014-07-26,19,2 Guinness: 2 beers: 15 md
2014-07-12,10,10 md
2014-07-04,20,12 Guinness: 5 shots: 3 md
2014-06-28,9,1 beer: 8 md
2014-06-27,5,4 Guinness: 1 beer
2014-06-21,14,4 Guinness: 10 md
2014-06-20,2,2 md
2014-06-14,8,4 Guinness: 4 md
2014-06-13,6,3 Guinness: 3 beers
2014-06-12,5,5 md
2014-06-07,8,8 md
2014-05-31,22,4 Guinness: 2 beers: 16 md
2014-05-17,9,9 md
2014-05-15,5,4 Guinness: 1 shot
2014-05-14,5,2 Guinness: 3 beers
2014-05-10,13,4 Guinness: 8 md: 1 shot
2014-05-08,5,4 Guinness: 1 shot
2014-05-03,11,10 Guinness: 1 shot
2014-05-02,2,1 Guinness: 1 beer
2014-05-01,6,5 Guinness: 1 shot
2014-04-25,11,2 beers: 8 md: 1 shot
2014-04-24,6,5 Guinness: 1 shot
2014-04-20,5,4 Guinness: 1 beer
2014-04-18,17,2 Guinness: 12 md: 3 shots
2014-04-12,36,2 Guinness: 4 beers: 30 md
2014-04-11,7,5 Guinness: 1 beer: 1 shot
2014-04-04,7,6 md: 1 shot
2014-03-29,14,12 md: 2 shots
2014-03-27,6,5 Guinness: 1 beer
2014-03-20,6,5 Guinness: 1 shot
2014-03-18,4,3 Guinness: 1 shot
2014-03-15,14,5 Guinness: 9 md
2014-03-14,4,3 Guinness: 1 beer
2014-03-11,4,2 Guinness: 2 beers
2014-03-08,4,3 Guinness: 1 md
2014-03-07,25,2 Guinness: 22 md: 1 shot
2014-03-06,9,8 beers: 1 md
2014-02-28,18,17 md: 1 shot
2014-03-01,8,1 Guinness: 1 shot: 6 md
2014-02-22,12,12 md
2014-02-18,4,3 Guinness: 1 shot
2014-02-15,21,5 Guinness: 16 shots
2014-02-11,2,2 beers
2014-02-08,9,8 md: 1 shot
2014-02-06,5,4 Guinness: 1 shot
2014-02-02,7,6 Guinness: 1 md
2014-01-31,12,4 beers: 7 md: 1 shot
2014-01-25,10,10 md
2014-01-18,11,3 beers: 8 md
2014-01-21,2,2 beers
2014-01-17,10,2 Guinness: 8 md
2014-01-11,12,12 md
2014-01-01,3,2 Guinness: 1 md
2014-01-02,2,2 md
2014-12-30,8,8 Guinness
2014-12-25,6,6 Guinness
2014-12-22,1,1 beer
2014-12-16,4,4 Guinness
2014-11-25,4,4 Guinness
2014-12-02,4,4 Guinness
2014-12-09,2,2 beers
2014-11-30,6,6 Guinness
2014-12-14,5,5 Guinness
2014-11-27,5,5 Guinness
2014-11-21,6,6 Guinness
2014-11-18,5,5 Guinness
2014-11-23,6,6 Guinness
2014-10-21,4,4 Guinness
2014-10-25,5,5 beers
2014-10-28,4,4 Guinness
2014-11-05,1,1 beer
2014-10-14,4,4 Guinness
2014-10-17,1,1 beer
2014-10-18,7,7 Guinness
2014-10-19,4,4 Guinness
2014-10-05,4,4 Guinness
2014-09-30,4,4 Guinness
2014-09-02,4,4 Guinness
2014-09-14,5,5 Guinness
2014-09-21,5,5 Guinness
2014-08-30,6,6 Guinness
2014-08-24,4,4 beers
2014-08-28,8,8 Guinness
2014-08-26,5,5 Guinness
2014-08-19,5,5 Guinness
2014-08-21,4,4 Guinness
2014-08-31,6,6 Guinness
2014-08-18,2,2 Guinness
2014-08-13,2,2 Guinness
2014-08-16,2,2 beers
2014-08-04,2,2 Guinness
2014-08-14,5,5 Guinness
2014-08-07,5,5 Guinness
2014-08-05,4,4 Guinness
2014-08-12,4,4 Guinness
2014-07-24,5,5 Guinness
2014-07-22,4,4 Guinness
2014-07-29,5,5 Guinness
2014-07-15,4,4 Guinness
2014-07-08,6,6 Guinness
2014-07-05,4,4 Guinness
2014-07-17,4,4 Guinness
2014-07-03,2,2 Guinness
2014-06-26,4,4 Guinness
2014-07-01,6,6 Guinness
2014-06-23,1,1 Guinness
2014-06-05,4,4 Guinness
2014-06-15,4,4 beers
2014-06-19,3,3 Guinness
2014-06-22,2,2 Guinness
2014-05-26,1,1 Guinness
2014-05-27,4,4 Guinness
2014-05-29,4,4 Guinness
2014-05-22,4,4 Guinness
2014-05-20,4,4 Guinness
2014-04-28,1,1 Guinness
2014-04-29,4,4 Guinness
2014-05-06,4,4 Guinness
2014-04-22,5,5 Guinness
2014-04-15,4,4 Guinness
2014-04-16,1,1 Guinness
2014-04-17,4,4 Guinness
2014-04-10,4,4 Guinness
2014-03-25,4,4 Guinness
2014-04-01,5,5 Guinness
2014-04-03,4,4 Guinness
2014-04-08,4,4 Guinness
2014-04-07,1,1 Guinness
2014-03-13,4,4 Guinness
2014-03-17,1,1 Guinness
2014-03-05,1,1 Guinness
2014-03-04,4,4 Guinness
2014-02-20,4,4 Guinness
2014-02-13,4,4 Guinness
2014-02-27,4,4 Guinness
2014-02-25,3,3 Guinness
2014-02-10,1,1 Guinness
2014-02-04,3,3 Guinness
2014-01-30,4,4 Guinness
2014-01-29,2,2 Guinness
2014-01-19,4,4 Guinness
2014-01-14,2,2 Guinness
2014-09-04,5,4 Guinness: 1 shot
2014-09-20,14,5 Guinness: 8 md: 1 shot
